results,votes,rating,service,countyState,fips
20,40,3.35,Preschools,"Abbeville County, SC",45001
7,13,2.14,Preschools,"Acadia Parish, LA",22001
7,11,3.57,Preschools,"Accomack County, VA",51001
20,40,4.9,Preschools,"Ada County, ID",16001
11,21,3.27,Preschools,"Adair County, IA",19001
5,7,2.6,Preschools,"Adair County, KY",21001
0,0,NaN,Preschools,"Adair County, MO",29001
20,43,3.98,Preschools,"Adair County, OK",40001
20,95,4.42,Preschools,"Adams County, CO",8001
0,0,NaN,Preschools,"Adams County, IA",19003
0,0,NaN,Preschools,"Adams County, ID",16003
0,0,NaN,Preschools,"Adams County, IL",17001
13,20,3.85,Preschools,"Adams County, IN",18001
0,0,NaN,Preschools,"Adams County, MS",28001
3,3,2.33,Preschools,"Adams County, NE",31001
18,32,3.56,Preschools,"Adams County, OH",39001
20,45,4.17,Preschools,"Adams County, PA",42001
0,0,NaN,Preschools,"Adams County, WA",53001
3,3,3.67,Preschools,"Adams County, WI",55001
14,21,4.25,Preschools,"Addison County, VT",50001
20,34,2.92,Preschools,"Aiken County, SC",45003
0,0,NaN,Preschools,"Aitkin County, MN",27001
20,33,4.1,Preschools,"Alachua County, FL",12001
20,57,4.38,Preschools,"Alamance County, NC",37001
20,341,4.88,Preschools,"Alameda County, CA",6001
0,0,NaN,Preschools,"Alamosa County, CO",8003
20,36,3.75,Preschools,"Albany County, NY",36001
1,2,3.5,Preschools,"Albany County, WY",56001
20,44,3.65,Preschools,"Albemarle County, VA",51003
0,0,NaN,Preschools,"Alcona County, MI",26001
4,4,2,Preschools,"Alcorn County, MS",28003
2,2,3,Preschools,"Alexander County, IL",17003
8,11,3.81,Preschools,"Alexander County, NC",37003
20,89,4.75,Preschools,"Alexandria, VA",51510
1,1,5,Preschools,"Alfalfa County, OK",40003
1,1,1,Preschools,"Allamakee County, IA",19005
20,35,4.4,Preschools,"Allegan County, MI",26005
9,13,3.17,Preschools,"Allegany County, MD",24001
5,8,4.4,Preschools,"Allegany County, NY",36003
10,20,4,Preschools,"Alleghany County, NC",37005
11,18,4.32,Preschools,"Alleghany County, VA",51005
20,72,4.58,Preschools,"Allegheny County, PA",42003
12,18,4.08,Preschools,"Allen County, IN",18003
1,1,5,Preschools,"Allen County, KS",20001
20,37,3.85,Preschools,"Allen County, KY",21003
8,14,4.5,Preschools,"Allen County, OH",39003
8,10,2,Preschools,"Allen Parish, LA",22003
16,32,2.66,Preschools,"Allendale County, SC",45005
0,0,NaN,Preschools,"Alpena County, MI",26007
20,72,4.65,Preschools,"Alpine County, CA",6003
20,161,4.8,Preschools,"Amador County, CA",6005
20,41,4.22,Preschools,"Amelia County, VA",51007
20,40,4.13,Preschools,"Amherst County, VA",51009
6,7,4.08,Preschools,"Amite County, MS",28005
11,21,3.86,Preschools,"Anderson County, KS",20003
20,30,4.42,Preschools,"Anderson County, KY",21005
20,39,3.45,Preschools,"Anderson County, SC",45007
20,37,3.8,Preschools,"Anderson County, TN",47001
8,11,2.94,Preschools,"Anderson County, TX",48001
4,4,4,Preschools,"Andrew County, MO",29003
14,24,2.86,Preschools,"Andrews County, TX",48003
18,36,3.78,Preschools,"Androscoggin County, ME",23001
1,1,4,Preschools,"Angelina County, TX",48005
20,72,4.83,Preschools,"Anne Arundel County, MD",24003
20,36,4.42,Preschools,"Anoka County, MN",27003
20,54,4.65,Preschools,"Anson County, NC",37007
4,6,4.25,Preschools,"Antrim County, MI",26009
0,0,NaN,Preschools,"Apache County, AZ",4001
1,1,1,Preschools,"Appanoose County, IA",19007
4,11,2.75,Preschools,"Appling County, GA",13001
9,20,4,Preschools,"Appomattox County, VA",51011
8,8,3.13,Preschools,"Aransas County, TX",48007
20,121,4.45,Preschools,"Arapahoe County, CO",8005
1,1,5,Preschools,"Archer County, TX",48009
0,0,NaN,Preschools,"Archuleta County, CO",8007
1,1,1,Preschools,"Arenac County, MI",26011
5,5,3.2,Preschools,"Arkansas County, AR",5001
20,78,4.85,Preschools,"Arlington County, VA",51013
20,39,4.25,Preschools,"Armstrong County, PA",42005
5,7,3.4,Preschools,"Armstrong County, TX",48011
20,29,3.4,Preschools,"Ascension Parish, LA",22005
8,13,3.13,Preschools,"Ashe County, NC",37009
20,31,4.53,Preschools,"Ashland County, OH",39005
0,0,NaN,Preschools,"Ashland County, WI",55003
1,1,4,Preschools,"Ashley County, AR",5003
20,50,4.3,Preschools,"Ashtabula County, OH",39007
3,4,4.5,Preschools,"Asotin County, WA",53003
20,30,3.73,Preschools,"Assumption Parish, LA",22007
20,57,4.72,Preschools,"Atascosa County, TX",48013
20,48,4.58,Preschools,"Atchison County, KS",20005
0,0,NaN,Preschools,"Atchison County, MO",29005
20,33,3.15,Preschools,"Athens County, OH",39009
8,10,3.44,Preschools,"Atkinson County, GA",13003
20,37,4.17,Preschools,"Atlantic County, NJ",34001
2,2,5,Preschools,"Atoka County, OK",40005
4,7,3.5,Preschools,"Attala County, MS",28007
16,24,4.44,Preschools,"Audrain County, MO",29007
1,1,5,Preschools,"Audubon County, IA",19009
13,21,4.15,Preschools,"Auglaize County, OH",39011
19,43,3.58,Preschools,"Augusta County, VA",51015
1,1,5,Preschools,"Aurora County, SD",46003
20,81,4.75,Preschools,"Austin County, TX",48015
4,5,4,Preschools,"Autauga County, AL",1001
20,33,3.4,Preschools,"Avery County, NC",37011
2,2,2.5,Preschools,"Avoyelles Parish, LA",22009
3,6,2.83,Preschools,"Bacon County, GA",13005
0,0,NaN,Preschools,"Bailey County, TX",48017
20,51,4.67,Preschools,"Baker County, FL",12003
3,3,5,Preschools,"Baker County, GA",13007
0,0,NaN,Preschools,"Baker County, OR",41001
20,30,4.4,Preschools,"Baldwin County, AL",1003
15,26,3.6,Preschools,"Baldwin County, GA",13009
2,2,3,Preschools,"Ballard County, KY",21007
20,49,4.63,Preschools,"Baltimore County, MD",24005
20,36,4.3,Preschools,"Baltimore, MD",24510
7,12,2.93,Preschools,"Bamberg County, SC",45009
20,67,4.85,Preschools,"Bandera County, TX",48019
16,28,3.47,Preschools,"Banks County, GA",13011
1,3,3,Preschools,"Banner County, NE",31007
4,5,3,Preschools,"Bannock County, ID",16005
1,1,5,Preschools,"Baraga County, MI",26013
0,0,NaN,Preschools,"Barber County, KS",20007
10,14,3.1,Preschools,"Barbour County, AL",1005
1,2,2.5,Preschools,"Barbour County, WV",54001
20,42,4.72,Preschools,"Barnstable County, MA",25001
20,36,2.8,Preschools,"Barnwell County, SC",45011
13,22,3.69,Preschools,"Barren County, KY",21009
5,7,3.8,Preschools,"Barron County, WI",55005
20,44,4.33,Preschools,"Barrow County, GA",13013
20,34,4.22,Preschools,"Barry County, MI",26015
20,44,4.28,Preschools,"Barry County, MO",29009
20,40,4.2,Preschools,"Bartholomew County, IN",18005
0,0,NaN,Preschools,"Barton County, KS",20009
4,6,4.38,Preschools,"Barton County, MO",29011
20,48,4.33,Preschools,"Bartow County, GA",13015
20,229,4.45,Preschools,"Bastrop County, TX",48021
20,41,4.15,Preschools,"Bates County, MO",29013
20,34,4.58,Preschools,"Bath County, KY",21011
3,5,3.67,Preschools,"Bath County, VA",51017
1,1,1,Preschools,"Baxter County, AR",5005
12,22,3.25,Preschools,"Bay County, FL",12005
2,3,2.25,Preschools,"Bay County, MI",26017
0,0,NaN,Preschools,"Bayfield County, WI",55007
2,2,4,Preschools,"Baylor County, TX",48023
0,0,NaN,Preschools,"Beadle County, SD",46005
1,1,5,Preschools,"Bear Lake County, ID",16007
8,10,3.69,Preschools,"Beaufort County, NC",37013
20,41,3.98,Preschools,"Beaufort County, SC",45013
5,6,2.2,Preschools,"Beauregard Parish, LA",22011
0,0,NaN,Preschools,"Beaver County, OK",40007
